Date,Number of Crimes,Rain,Average Temp (NOAA),Average Temp (Wunderland),Average Temp (Combined)
2020-06-26,321,NO,59.5,62.9,61.2
2019-06-27,383,NO,59.5,62.3,60.9
2020-06-27,344,NO,58.0,62.5,60.25
2019-06-28,412,NO,59.5,61.7,60.6
2020-06-28,325,NO,58.5,59.4,58.95
2019-06-29,438,NO,57.5,60.8,59.15
2020-06-29,304,NO,61.0,63.9,62.45
2019-06-30,578,NO,58.5,61.0,59.75
2020-06-30,360,NO,64.0,62.5,63.25
2019-07-01,504,NO,59.0,61.2,60.1
2020-07-01,386,NO,60.5,62.2,61.35
2019-07-02,474,NO,59.5,60.5,60.0
2020-07-02,323,NO,60.5,61.6,61.05
2019-07-03,437,NO,59.5,59.6,59.55
2020-07-03,362,NO,58.0,59.4,58.7
2019-07-04,361,NO,59.0,60.4,59.7
2020-07-04,337,NO,62.5,64.0,63.25
2019-07-05,404,NO,60.5,62.0,61.25
2020-07-05,254,NO,63.0,62.4,62.7
2019-07-06,367,NO,60.0,61.9,60.95
2020-07-06,321,NO,60.0,59.8,59.9
2019-07-07,381,NO,58.0,61.1,59.55
2020-07-07,360,NO,59.5,60.1,59.8
2019-07-08,476,NO,57.5,60.0,58.75
2020-07-08,337,NO,61.5,60.8,61.15
2019-07-09,336,NO,59.5,63.7,61.6
2020-07-09,311,NO,63.0,62.3,62.65
2019-07-10,422,NO,62.0,65.6,63.8
2020-07-10,303,NO,60.0,60.1,60.05
2019-07-11,384,NO,60.0,62.3,61.15
2020-07-11,275,NO,62.5,63.0,62.75
2019-07-12,446,NO,59.0,60.1,59.55
2020-07-12,260,NO,62.5,63.6,63.05
2019-07-13,430,NO,57.5,60.4,58.95
2020-07-13,333,NO,57.5,61.8,59.65
2019-07-14,358,NO,58.0,61.4,59.7
2020-07-14,329,NO,61.0,63.0,62.0
2019-07-15,408,NO,63.0,65.5,64.25
2020-07-15,372,NO,61.0,63.0,62.0
2019-07-16,423,NO,60.5,63.6,62.05
2020-07-16,298,NO,60.0,62.8,61.4
2019-07-17,434,NO,62.5,64.7,63.6
2020-07-17,368,NO,61.5,64.0,62.75
2019-07-18,376,NO,60.5,65.0,62.75
2020-07-18,267,NO,62.0,64.0,63.0
2019-07-19,405,NO,64.5,66.5,65.5
2020-07-19,300,NO,61.0,62.8,61.9
2019-07-20,404,NO,61.5,64.2,62.85
2020-07-20,337,NO,58.5,61.6,60.05
2019-07-21,389,NO,61.0,62.9,61.95
2020-07-21,376,NO,59.5,61.1,60.3
2019-07-22,456,NO,61.0,63.4,62.2
2020-07-22,318,YES,62.5,63.3,62.9
2019-07-23,427,NO,60.5,63.0,61.75
2020-07-23,343,NO,60.5,61.7,61.1
2019-07-24,489,NO,65.0,66.0,65.5
2020-07-24,276,NO,58.0,59.8,58.9
2019-07-25,404,NO,62.0,63.1,62.55
2020-07-25,256,NO,62.0,63.1,62.55
2019-07-26,495,NO,60.5,63.6,62.05
2020-07-26,283,NO,61.0,63.0,62.0
2019-07-27,407,NO,61.0,66.6,63.8
2020-07-27,295,NO,59.0,60.8,59.9
2019-07-28,450,NO,66.0,65.1,65.55
2020-07-28,308,NO,58.5,60.0,59.25
2019-07-29,457,NO,60.5,62.9,61.7
2020-07-29,382,NO,58.0,60.1,59.05
2019-07-30,397,NO,59.0,62.5,60.75
2020-07-30,305,NO,59.0,61.0,60.0
2019-07-31,428,NO,62.0,63.5,62.75
2020-07-31,281,NO,59.5,60.1,59.8
2019-08-01,501,NO,60.5,64.1,62.3
2020-08-01,402,NO,60.0,61.4,60.7
2019-08-02,449,NO,62.0,63.4,62.7
2020-08-02,268,NO,59.5,62.0,60.75
